event_date,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,longitude,latitude,Landslide_date,start_date_30d,start_date_60d
2008-08-01 00:00:00,Unknown,landslide,rain,large,mine,107.45,32.5625,2008-08-01,2008-07-02,2008-06-02
2009-01-02 02:00:00,5km,mudslide,downpour,small,Unknown,-122.663,45.42,2009-01-02,2008-12-03,2008-11-03
2007-01-19 00:00:00,10km,landslide,downpour,large,Unknown,-75.3587,-11.1295,2007-01-19,2006-12-20,2006-11-20
2009-07-31 00:00:00,Unknown,landslide,monsoon,medium,Unknown,81.708,28.8378,2009-07-31,2009-07-01,2009-06-01
2010-10-16 12:00:00,5km,landslide,tropical_cyclone,medium,Unknown,123.8978,10.3336,2010-10-16,2010-09-16,2010-08-17
2012-02-16 00:00:00,5km,landslide,downpour,medium,Unknown,124.9668,10.7004,2012-02-16,2012-01-17,2011-12-18
2012-03-30 00:00:00,5km,mudslide,downpour,small,Unknown,-117.2665,48.2797,2012-03-30,2012-02-29,2012-01-30
2007-09-02 00:00:00,10km,complex,tropical_cyclone,medium,Unknown,-107.622,24.9531,2007-09-02,2007-08-03,2007-07-04
2007-09-05 00:00:00,5km,mudslide,rain,medium,Unknown,-114.4194,43.6846,2007-09-05,2007-08-06,2007-07-07
2008-11-01 00:00:00,10km,complex,downpour,medium,Unknown,100.0845,23.89,2008-11-01,2008-10-02,2008-09-02
2008-11-01 00:00:00,25km,complex,downpour,medium,Unknown,102.695,25.0967,2008-11-01,2008-10-02,2008-09-02
2014-12-21 08:10:00,exact,landslide,Unknown,Unknown,above_road,-122.8178,45.8647,2014-12-21,2014-11-21,2014-10-22
2009-01-01 22:24:00,10km,mudslide,rain,small,Unknown,-122.0704,45.377,2009-01-01,2008-12-02,2008-11-02
2017-07-03 14:33:00,10km,landslide,downpour,small,above_road,105.5299971,23.14383048,2017-07-03,2017-06-03,2017-05-04
2009-01-02 20:30:00,5km,landslide,downpour,medium,Unknown,124.0419,12.5655,2009-01-02,2008-12-03,2008-11-03
2009-01-03 00:00:00,10km,mudslide,rain,small,Unknown,-122.67,45.521,2009-01-03,2008-12-04,2008-11-04
2009-01-07 01:41:00,1km,landslide,rain,small,Unknown,-83.071,35.507,2009-01-07,2008-12-08,2008-11-08
2009-01-07 00:00:00,5km,landslide,rain,small,Unknown,-122.893,46.11,2009-01-07,2008-12-08,2008-11-08
2009-01-07 00:00:00,5km,mudslide,rain,small,Unknown,-122.334,47.432,2009-01-07,2008-12-08,2008-11-08
2009-01-07 00:00:00,5km,landslide,downpour,medium,Unknown,-121.75,48.538,2009-01-07,2008-12-08,2008-11-08
2009-01-07 00:00:00,1km,mudslide,rain,small,Unknown,-122.2,48.72,2009-01-07,2008-12-08,2008-11-08
