event_date,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,longitude,latitude,is_rainfall_induced,Landslide_date,start_date_1d,start_date_3d,start_date_7d,recordid,fixed_accuracy
2008-08-01 00:00:00,5.0,landslide,rain,large,mine,107.45,32.5625,1,2008-08-01,2008-07-31,2008-07-29,2008-07-25,1,10
2009-01-02 02:00:00,5.0,mudslide,downpour,small,Unknown,-122.663,45.42,1,2009-01-02,2009-01-01,2008-12-30,2008-12-26,2,10
2007-01-19 00:00:00,10.0,landslide,downpour,large,Unknown,-75.3587,-11.1295,1,2007-01-19,2007-01-18,2007-01-16,2007-01-12,3,10
2009-07-31 00:00:00,5.0,landslide,monsoon,medium,Unknown,81.708,28.8378,1,2009-07-31,2009-07-30,2009-07-28,2009-07-24,4,10
2010-10-16 12:00:00,5.0,landslide,tropical_cyclone,medium,Unknown,123.8978,10.3336,1,2010-10-16,2010-10-15,2010-10-13,2010-10-09,5,10
2012-02-16 00:00:00,5.0,landslide,downpour,medium,Unknown,124.9668,10.7004,1,2012-02-16,2012-02-15,2012-02-13,2012-02-09,6,10
2012-03-30 00:00:00,5.0,mudslide,downpour,small,Unknown,-117.2665,48.2797,1,2012-03-30,2012-03-29,2012-03-27,2012-03-23,7,10
2007-09-02 00:00:00,10.0,complex,tropical_cyclone,medium,Unknown,-107.622,24.9531,1,2007-09-02,2007-09-01,2007-08-30,2007-08-26,8,10
2007-09-05 00:00:00,5.0,mudslide,rain,medium,Unknown,-114.4194,43.6846,1,2007-09-05,2007-09-04,2007-09-02,2007-08-29,9,10
2008-11-01 00:00:00,10.0,complex,downpour,medium,Unknown,100.0845,23.89,1,2008-11-01,2008-10-31,2008-10-29,2008-10-25,10,10
2008-11-01 00:00:00,25.0,complex,downpour,medium,Unknown,102.695,25.0967,1,2008-11-01,2008-10-31,2008-10-29,2008-10-25,11,10
2014-12-21 08:10:00,5.0,landslide,Unknown,Unknown,above_road,-122.8178,45.8647,0,2014-12-21,2014-12-20,2014-12-18,2014-12-14,12,10
2009-01-01 22:24:00,10.0,mudslide,rain,small,Unknown,-122.0704,45.377,1,2009-01-01,2008-12-31,2008-12-29,2008-12-25,13,10
2017-07-03 14:33:00,10.0,landslide,downpour,small,above_road,105.5299971,23.14383048,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,14,10
2009-01-02 20:30:00,5.0,landslide,downpour,medium,Unknown,124.0419,12.5655,1,2009-01-02,2009-01-01,2008-12-30,2008-12-26,15,10
2009-01-03 00:00:00,10.0,mudslide,rain,small,Unknown,-122.67,45.521,1,2009-01-03,2009-01-02,2008-12-31,2008-12-27,16,10
2009-01-07 01:41:00,1.0,landslide,rain,small,Unknown,-83.071,35.507,1,2009-01-07,2009-01-06,2009-01-04,2008-12-31,17,10
2009-01-07 00:00:00,5.0,landslide,rain,small,Unknown,-122.893,46.11,1,2009-01-07,2009-01-06,2009-01-04,2008-12-31,18,10
2009-01-07 00:00:00,5.0,mudslide,rain,small,Unknown,-122.334,47.432,1,2009-01-07,2009-01-06,2009-01-04,2008-12-31,19,10
2009-01-07 00:00:00,5.0,landslide,downpour,medium,Unknown,-121.75,48.538,1,2009-01-07,2009-01-06,2009-01-04,2008-12-31,20,10
2009-01-07 00:00:00,1.0,mudslide,rain,small,Unknown,-122.2,48.72,1,2009-01-07,2009-01-06,2009-01-04,2008-12-31,21,10
2009-01-08 00:00:00,5.0,mudslide,Unknown,small,Unknown,-122.909,46.1299,0,2009-01-08,2009-01-07,2009-01-05,2009-01-01,22,10
2009-01-08 01:00:00,5.0,complex,rain,small,Unknown,-122.273,47.538,1,2009-01-08,2009-01-07,2009-01-05,2009-01-01,23,10
2009-01-08 06:00:00,5.0,mudslide,rain,small,Unknown,-122.037,48.929,1,2009-01-08,2009-01-07,2009-01-05,2009-01-01,24,10
2009-01-13 00:00:00,5.0,landslide,downpour,medium,Unknown,5.765,36.7946,1,2009-01-13,2009-01-12,2009-01-10,2009-01-06,25,10
2009-01-13 08:50:00,1.0,mudslide,rain,small,Unknown,-122.2072,47.7573,1,2009-01-13,2009-01-12,2009-01-10,2009-01-06,26,10
2009-01-16 13:00:00,10.0,landslide,rain,medium,Unknown,110.3442,1.531,1,2009-01-16,2009-01-15,2009-01-13,2009-01-09,27,10
2009-01-19 23:00:00,25.0,landslide,rain,medium,Unknown,116.662,-8.5073,1,2009-01-19,2009-01-18,2009-01-16,2009-01-12,28,10
2009-08-13 00:00:00,5.0,landslide,downpour,medium,Unknown,-13.2287,8.4841,1,2009-08-13,2009-08-12,2009-08-10,2009-08-06,29,10
2009-01-22 00:00:00,5.0,landslide,downpour,medium,Unknown,115.0668,5.031,1,2009-01-22,2009-01-21,2009-01-19,2009-01-15,30,10
2009-01-22 00:00:00,50.0,landslide,downpour,medium,Unknown,-99.1276,19.4271,1,2009-01-22,2009-01-21,2009-01-19,2009-01-15,31,10
2009-01-26 00:00:00,5.0,mudslide,downpour,medium,Unknown,14.252,40.8403,1,2009-01-26,2009-01-25,2009-01-23,2009-01-19,32,10
2009-07-22 00:00:00,10.0,landslide,downpour,medium,Unknown,88.2788,26.8826,1,2009-07-22,2009-07-21,2009-07-19,2009-07-15,33,10
2009-02-06 00:00:00,5.0,mudslide,rain,small,Unknown,-118.05,34.162,1,2009-02-06,2009-02-05,2009-02-03,2009-01-30,34,10
2009-07-22 00:00:00,10.0,landslide,downpour,medium,Unknown,88.3143,26.8572,1,2009-07-22,2009-07-21,2009-07-19,2009-07-15,35,10
2009-02-07 00:00:00,5.0,landslide,downpour,medium,Unknown,123.226,9.29,1,2009-02-07,2009-02-06,2009-02-04,2009-01-31,36,10
2009-09-09 00:00:00,10.0,landslide,downpour,medium,Unknown,121.56,14.545,1,2009-09-09,2009-09-08,2009-09-06,2009-09-02,37,10
2009-04-20 09:00:00,1.0,mudslide,downpour,small,Unknown,-79.4305,37.9137,1,2009-04-20,2009-04-19,2009-04-17,2009-04-13,38,10
2009-08-23 00:00:00,5.0,complex,downpour,small,Unknown,145.9063,-41.0528,1,2009-08-23,2009-08-22,2009-08-20,2009-08-16,39,10
2009-07-02 03:00:00,50.0,landslide,monsoon,medium,Unknown,83.9806,28.2039,1,2009-07-02,2009-07-01,2009-06-29,2009-06-25,40,10
2009-07-02 00:00:00,25.0,landslide,monsoon,medium,Unknown,84.2279,27.9447,1,2009-07-02,2009-07-01,2009-06-29,2009-06-25,41,10
2009-07-21 00:00:00,5.0,landslide,downpour,medium,Unknown,131.5729,34.0496,1,2009-07-21,2009-07-20,2009-07-18,2009-07-14,42,10
2017-05-19 20:14:00,1.0,mudslide,rain,small,urban,-83.712126,36.770029,1,2017-05-19,2017-05-18,2017-05-16,2017-05-12,43,10
2009-07-24 00:00:00,10.0,landslide,downpour,medium,Unknown,132.4592,34.3852,1,2009-07-24,2009-07-23,2009-07-21,2009-07-17,44,10
2009-07-25 00:00:00,5.0,landslide,downpour,medium,Unknown,103.5868,31.483,1,2009-07-25,2009-07-24,2009-07-22,2009-07-18,45,10
2009-07-01 05:40:00,1.0,landslide,downpour,medium,Unknown,88.527,27.478,1,2009-07-01,2009-06-30,2009-06-28,2009-06-24,46,10
2009-07-27 00:00:00,25.0,landslide,monsoon,large,Unknown,85.71,28.0,1,2009-07-27,2009-07-26,2009-07-24,2009-07-20,47,10
2009-07-31 00:00:00,50.0,landslide,monsoon,medium,Unknown,83.8791,28.1046,1,2009-07-31,2009-07-30,2009-07-28,2009-07-24,48,10
2009-09-20 18:30:00,10.0,mudslide,downpour,medium,Unknown,-132.7269,56.5561,1,2009-09-20,2009-09-19,2009-09-17,2009-09-13,49,10
2009-09-22 02:00:00,5.0,mudslide,downpour,medium,Unknown,-132.7348,56.5692,1,2009-09-22,2009-09-21,2009-09-19,2009-09-15,50,10
2009-09-22 05:00:00,5.0,mudslide,downpour,medium,Unknown,-132.5617,56.5787,1,2009-09-22,2009-09-21,2009-09-19,2009-09-15,51,10
2009-11-18 00:00:00,1.0,mudslide,downpour,small,Unknown,-122.5562,47.2846,1,2009-11-18,2009-11-17,2009-11-15,2009-11-11,52,10
2009-11-21 00:00:00,25.0,landslide,downpour,medium,Unknown,109.9187,-7.571,1,2009-11-21,2009-11-20,2009-11-18,2009-11-14,53,10
2017-07-03 14:33:00,25.0,landslide,downpour,small,above_road,104.4530851,22.69040325,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,54,10
2009-12-09 00:00:00,5.0,mudslide,downpour,small,Unknown,-85.3697,35.0672,1,2009-12-09,2009-12-08,2009-12-06,2009-12-02,55,10
2009-12-09 00:00:00,5.0,mudslide,downpour,small,Unknown,-85.3361,35.1052,1,2009-12-09,2009-12-08,2009-12-06,2009-12-02,56,10
2010-01-01 00:00:00,25.0,mudslide,downpour,large,Unknown,-44.32249842,-23.01374445,1,2010-01-01,2009-12-31,2009-12-29,2009-12-25,57,10
2015-02-06 13:18:00,5.0,landslide,Unknown,Unknown,above_road,-123.1587,45.2335,0,2015-02-06,2015-02-05,2015-02-03,2015-01-30,58,10
2010-04-05 00:00:00,1.0,landslide,downpour,medium,Unknown,-43.07409842,-22.89234445,1,2010-04-05,2010-04-04,2010-04-02,2010-03-29,59,10
2010-07-29 23:00:00,25.0,landslide,downpour,medium,Unknown,94.48214677,25.3098633,1,2010-07-29,2010-07-28,2010-07-26,2010-07-22,60,10
2010-08-06 00:00:00,5.0,landslide,downpour,medium,Unknown,74.8609,36.6567,1,2010-08-06,2010-08-05,2010-08-03,2010-07-30,61,10
2010-10-16 00:00:00,25.0,landslide,tropical_cyclone,medium,Unknown,123.9153,10.395,1,2010-10-16,2010-10-15,2010-10-13,2010-10-09,62,10
2011-07-21 00:00:00,25.0,landslide,rain,medium,Unknown,79.6367,29.7334,1,2011-07-21,2011-07-20,2011-07-18,2011-07-14,63,10
2010-10-17 00:00:00,25.0,landslide,tropical_cyclone,medium,Unknown,123.72,10.57,1,2010-10-17,2010-10-16,2010-10-14,2010-10-10,64,10
2010-10-17 00:00:00,10.0,landslide,tropical_cyclone,medium,Unknown,123.98,10.77,1,2010-10-17,2010-10-16,2010-10-14,2010-10-10,65,10
2011-01-12 00:00:00,10.0,mudslide,downpour,very_large,Unknown,-42.6018,-22.2331,1,2011-01-12,2011-01-11,2011-01-09,2011-01-05,66,10
2007-03-19 00:00:00,25.0,landslide,rain,medium,Unknown,74.3333,33.8778,1,2007-03-19,2007-03-18,2007-03-16,2007-03-12,67,10
2011-05-04 09:00:00,1.0,mudslide,downpour,small,Unknown,-73.0562,44.9378,1,2011-05-04,2011-05-03,2011-05-01,2011-04-27,68,10
2011-06-29 00:00:00,50.0,landslide,downpour,medium,Unknown,78.7963,30.7666,1,2011-06-29,2011-06-28,2011-06-26,2011-06-22,69,10
2011-07-03 00:00:00,5.0,landslide,downpour,medium,Unknown,83.5754,27.7394,1,2011-07-03,2011-07-02,2011-06-30,2011-06-26,70,10
2013-07-21 00:00:00,5.0,landslide,rain,medium,Unknown,123.8725,10.335,1,2013-07-21,2013-07-20,2013-07-18,2013-07-14,71,10
2011-07-03 00:00:00,25.0,landslide,downpour,medium,Unknown,83.2934,28.3683,1,2011-07-03,2011-07-02,2011-06-30,2011-06-26,72,10
2011-07-03 00:00:00,5.0,landslide,downpour,medium,Unknown,83.2934,28.0889,1,2011-07-03,2011-07-02,2011-06-30,2011-06-26,73,10
2017-06-02 13:34:00,10.0,landslide,tropical_cyclone,medium,natural_slope,-96.22255907,16.09880042,1,2017-06-02,2017-06-01,2017-05-30,2017-05-26,74,10
2011-07-09 00:00:00,50.0,landslide,downpour,medium,Unknown,78.5925,30.7652,1,2011-07-09,2011-07-08,2011-07-06,2011-07-02,75,10
2011-07-09 00:00:00,25.0,landslide,downpour,medium,Unknown,79.0685,30.7331,1,2011-07-09,2011-07-08,2011-07-06,2011-07-02,76,10
2011-07-09 00:00:00,25.0,landslide,downpour,medium,Unknown,78.4129,31.0188,1,2011-07-09,2011-07-08,2011-07-06,2011-07-02,77,10
2017-01-06 14:34:00,25.0,rock_fall,Unknown,small,above_road,-119.7795082,37.67607624,0,2017-01-06,2017-01-05,2017-01-03,2016-12-30,78,10
2017-05-30 13:34:00,25.0,landslide,rain,small,above_road,120.9613282,16.77787239,1,2017-05-30,2017-05-29,2017-05-27,2017-05-23,79,10
2011-07-16 00:00:00,5.0,mudslide,downpour,medium,Unknown,-36.9541,-8.8137,1,2011-07-16,2011-07-15,2011-07-13,2011-07-09,80,10
2012-02-14 00:00:00,10.0,landslide,downpour,medium,Unknown,123.92,10.39,1,2012-02-14,2012-02-13,2012-02-11,2012-02-07,81,10
2011-07-16 00:00:00,5.0,mudslide,downpour,medium,Unknown,-34.8813,-8.0543,1,2011-07-16,2011-07-15,2011-07-13,2011-07-09,82,10
2011-07-21 00:00:00,25.0,landslide,rain,medium,Unknown,79.3318,30.4043,1,2011-07-21,2011-07-20,2011-07-18,2011-07-14,83,10
2011-07-22 00:00:00,50.0,landslide,tropical_cyclone,medium,Unknown,-103.7244,19.2444,1,2011-07-22,2011-07-21,2011-07-19,2011-07-15,84,10
2011-07-22 00:00:00,5.0,landslide,tropical_cyclone,medium,Unknown,-99.538,17.4974,1,2011-07-22,2011-07-21,2011-07-19,2011-07-15,85,10
2017-07-03 18:04:00,5.0,landslide,rain,medium,above_road,84.54704621,27.83196401,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,86,10
2011-07-22 00:00:00,5.0,landslide,tropical_cyclone,medium,Unknown,-101.7023,19.5805,1,2011-07-22,2011-07-21,2011-07-19,2011-07-15,87,10
2012-02-16 00:00:00,25.0,landslide,downpour,medium,Unknown,124.9705,10.6073,1,2012-02-16,2012-02-15,2012-02-13,2012-02-09,88,10
2009-11-17 00:00:00,5.0,mudslide,downpour,small,Unknown,-122.8001,49.0229,1,2009-11-17,2009-11-16,2009-11-14,2009-11-10,89,10
2011-07-22 00:00:00,5.0,landslide,tropical_cyclone,medium,Unknown,-104.8334,21.7595,1,2011-07-22,2011-07-21,2011-07-19,2011-07-15,90,10
2011-07-30 00:00:00,10.0,mudslide,rain,small,Unknown,-107.1291,39.4274,1,2011-07-30,2011-07-29,2011-07-27,2011-07-23,91,10
2011-07-30 00:00:00,10.0,mudslide,rain,small,Unknown,-107.2225,39.4977,1,2011-07-30,2011-07-29,2011-07-27,2011-07-23,92,10
2011-09-17 09:00:00,5.0,landslide,downpour,medium,Unknown,82.6474,28.3875,1,2011-09-17,2011-09-16,2011-09-14,2011-09-10,93,10
2012-02-14 00:00:00,10.0,landslide,downpour,medium,Unknown,123.89,10.37,1,2012-02-14,2012-02-13,2012-02-11,2012-02-07,94,10
2012-02-14 00:00:00,10.0,landslide,downpour,medium,Unknown,123.91,10.42,1,2012-02-14,2012-02-13,2012-02-11,2012-02-07,95,10
2016-08-16 19:22:00,5.0,landslide,rain,large,natural_slope,88.492,27.593,1,2016-08-16,2016-08-15,2016-08-13,2016-08-09,96,10
2012-05-02 00:00:00,10.0,landslide,downpour,large,Unknown,-124.01,42.9744,1,2012-05-02,2012-05-01,2012-04-29,2012-04-25,97,10
2012-09-18 00:00:00,1.0,landslide,downpour,medium,Unknown,77.1029,31.0226,1,2012-09-18,2012-09-17,2012-09-15,2012-09-11,98,10
2012-09-19 00:00:00,10.0,landslide,downpour,large,Unknown,88.556,27.8385,1,2012-09-19,2012-09-18,2012-09-16,2012-09-12,99,10
2012-09-19 00:00:00,10.0,landslide,downpour,large,Unknown,88.605,27.6558,1,2012-09-19,2012-09-18,2012-09-16,2012-09-12,100,10
2012-10-19 00:00:00,5.0,landslide,downpour,medium,Unknown,-0.9992,5.5779,1,2012-10-19,2012-10-18,2012-10-16,2012-10-12,101,10
2016-09-02 18:04:00,5.0,landslide,Unknown,small,Unknown,84.854632,27.769034,0,2016-09-02,2016-09-01,2016-08-30,2016-08-26,102,10
2012-12-25 03:00:00,5.0,landslide,rain,medium,Unknown,-60.55,11.3169,1,2012-12-25,2012-12-24,2012-12-22,2012-12-18,103,10
2017-07-04 14:33:00,5.0,landslide,rain,medium,natural_slope,91.92597729,21.61900923,1,2017-07-04,2017-07-03,2017-07-01,2017-06-27,104,10
2013-05-28 00:00:00,5.0,landslide,downpour,medium,Unknown,-79.8897,9.3381,1,2013-05-28,2013-05-27,2013-05-25,2013-05-21,105,10
2013-05-28 00:00:00,5.0,landslide,downpour,medium,Unknown,-79.9029,9.3581,1,2013-05-28,2013-05-27,2013-05-25,2013-05-21,106,10
2013-06-16 00:00:00,50.0,landslide,rain,medium,Unknown,78.3881,30.4954,1,2013-06-16,2013-06-15,2013-06-13,2013-06-09,107,10
2013-06-16 00:00:00,50.0,landslide,rain,medium,Unknown,78.6695,30.885,1,2013-06-16,2013-06-15,2013-06-13,2013-06-09,108,10
2013-06-16 00:00:00,50.0,landslide,rain,medium,Unknown,80.417,29.7986,1,2013-06-16,2013-06-15,2013-06-13,2013-06-09,109,10
2017-05-30 13:34:00,5.0,rock_fall,rain,small,above_road,-85.97897289,36.27009466,1,2017-05-30,2017-05-29,2017-05-27,2017-05-23,110,10
2013-06-19 00:00:00,5.0,mudslide,downpour,medium,Unknown,-116.9044,50.0023,1,2013-06-19,2013-06-18,2013-06-16,2013-06-12,111,10
2013-06-25 08:00:00,5.0,landslide,downpour,medium,Unknown,77.5947,10.9628,1,2013-06-25,2013-06-24,2013-06-22,2013-06-18,112,10
2013-06-25 08:00:00,5.0,landslide,downpour,medium,Unknown,77.5947,10.9628,1,2013-06-25,2013-06-24,2013-06-22,2013-06-18,113,10
2013-07-14 00:00:00,25.0,landslide,Unknown,medium,Unknown,82.1847,28.4311,0,2013-07-14,2013-07-13,2013-07-11,2013-07-07,114,10
2013-07-17 00:00:00,50.0,mudslide,rain,medium,Unknown,93.9413,25.7658,1,2013-07-17,2013-07-16,2013-07-14,2013-07-10,115,10
2013-07-14 00:00:00,25.0,landslide,Unknown,medium,Unknown,82.4393,28.6202,0,2013-07-14,2013-07-13,2013-07-11,2013-07-07,116,10
2013-07-17 00:00:00,50.0,mudslide,rain,medium,Unknown,94.0885,25.7131,1,2013-07-17,2013-07-16,2013-07-14,2013-07-10,117,10
2013-07-21 00:00:00,5.0,landslide,rain,medium,Unknown,123.888,10.329,1,2013-07-21,2013-07-20,2013-07-18,2013-07-14,118,10
2017-06-13 15:17:00,25.0,landslide,continuous_rain,large,urban,91.83258101,22.35037081,1,2017-06-13,2017-06-12,2017-06-10,2017-06-06,119,10
2013-10-09 00:00:00,10.0,landslide,rain,medium,Unknown,12.3966,47.446,1,2013-10-09,2013-10-08,2013-10-06,2013-10-02,120,10
2015-05-17 00:00:00,1.0,landslide,rain,medium,urban,-117.0898,32.5196,1,2015-05-17,2015-05-16,2015-05-14,2015-05-10,121,10
2017-06-30 16:00:00,50.0,landslide,continuous_rain,medium,natural_slope,106.7121322,-6.522155904,1,2017-06-30,2017-06-29,2017-06-27,2017-06-23,122,10
2017-07-01 16:00:00,5.0,landslide,downpour,small,above_road,94.24416766,26.1445447,1,2017-07-01,2017-06-30,2017-06-28,2017-06-24,123,10
2017-07-05 19:39:00,25.0,landslide,continuous_rain,medium,natural_slope,92.10434768,21.23699085,1,2017-07-05,2017-07-04,2017-07-02,2017-06-28,124,10
2017-07-03 15:17:00,1.0,landslide,continuous_rain,medium,natural_slope,91.87202793,26.20450454,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,125,10
2017-07-01 14:33:00,5.0,debris_flow,downpour,medium,engineered_slope,-72.34106092,43.65859938,1,2017-07-01,2017-06-30,2017-06-28,2017-06-24,126,10
2017-07-02 15:17:00,50.0,landslide,continuous_rain,small,below_road,92.03513581,22.77997113,1,2017-07-02,2017-07-01,2017-06-29,2017-06-25,127,10
2017-07-04 16:00:00,5.0,rock_fall,no_apparent_trigger,small,natural_slope,-112.9476039,37.29584217,0,2017-07-04,2017-07-03,2017-07-01,2017-06-27,128,10
2017-07-04 16:00:00,1.0,landslide,continuous_rain,small,above_road,94.12901274,25.4976444,1,2017-07-04,2017-07-03,2017-07-01,2017-06-27,129,10
2017-06-12 17:43:00,50.0,mudslide,Unknown,Unknown,Unknown,-100.3120723,17.85175828,0,2017-06-12,2017-06-11,2017-06-09,2017-06-05,130,10
2017-07-03 14:33:00,25.0,landslide,downpour,medium,natural_slope,105.4244893,23.16100191,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,131,10
2017-07-03 16:00:00,10.0,landslide,continuous_rain,medium,Unknown,91.92053028,26.22247247,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,132,10
2017-07-03 14:33:00,5.0,landslide,downpour,small,Unknown,91.85158907,26.1061808,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,133,10
2017-07-03 14:33:00,5.0,landslide,downpour,small,Unknown,91.86227824,26.10430759,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,134,10
2017-06-13 15:17:00,250.0,landslide,continuous_rain,large,Unknown,92.22099982,22.74955141,1,2017-06-13,2017-06-12,2017-06-10,2017-06-06,135,10
2017-07-03 14:33:00,25.0,landslide,downpour,small,above_road,105.1593663,22.77992936,1,2017-07-03,2017-07-02,2017-06-30,2017-06-26,136,10
2017-06-29 14:33:00,1.0,landslide,no_apparent_trigger,small,natural_slope,-80.00630324,40.24298211,0,2017-06-29,2017-06-28,2017-06-26,2017-06-22,137,10
2017-06-13 18:48:00,10.0,landslide,downpour,medium,natural_slope,91.91261915,22.80452414,1,2017-06-13,2017-06-12,2017-06-10,2017-06-06,138,10
2016-09-02 18:04:00,5.0,landslide,Unknown,large,above_road,77.109719,31.956546,0,2016-09-02,2016-09-01,2016-08-30,2016-08-26,139,10
2017-07-02 19:39:00,10.0,landslide,rain,small,Unknown,85.91050294,27.90362599,1,2017-07-02,2017-07-01,2017-06-29,2017-06-25,140,10
2017-07-04 19:39:00,1.0,landslide,rain,medium,above_road,94.21263589,27.98531715,1,2017-07-04,2017-07-03,2017-07-01,2017-06-27,141,10
2017-07-01 16:00:00,5.0,landslide,continuous_rain,small,above_road,94.24222574,26.11613908,1,2017-07-01,2017-06-30,2017-06-28,2017-06-24,142,10
2017-06-19 19:39:00,5.0,mudslide,downpour,small,above_road,-72.44447441,43.10590179,1,2017-06-19,2017-06-18,2017-06-16,2017-06-12,143,10
2017-07-01 16:00:00,1.0,landslide,downpour,small,natural_slope,175.2344014,-36.95665535,1,2017-07-01,2017-06-30,2017-06-28,2017-06-24,144,10
2017-07-05 19:39:00,5.0,landslide,continuous_rain,medium,natural_slope,92.17584376,21.42181705,1,2017-07-05,2017-07-04,2017-07-02,2017-06-28,145,10
2017-07-04 19:39:00,10.0,landslide,rain,small,above_road,94.26296826,27.97875751,1,2017-07-04,2017-07-03,2017-07-01,2017-06-27,146,10
2016-09-08 18:04:00,5.0,landslide,rain,medium,above_road,123.821113,10.283626,1,2016-09-08,2016-09-07,2016-09-05,2016-09-01,147,10
2017-06-14 18:48:00,25.0,landslide,downpour,medium,natural_slope,92.21525816,21.04270451,1,2017-06-14,2017-06-13,2017-06-11,2017-06-07,148,10
